,Content_ID,Reaction_Type,Datetime,Content_Type,Category,Sentiment,Score,,,,,,,,,,
9852,45d2d284-1830-45a3-8c9d-95f8bdec3202,intrigued,15-01-2021 18:37,audio,studying,positive,45,,,,,,,,,,
9855,45d2d284-1830-45a3-8c9d-95f8bdec3202,intrigued,14-06-2021 19:55,audio,studying,positive,45,,,,,,,,,,
9905,29d7781c-9302-4269-91f3-c23afb33467a,intrigued,03-09-2020 20:59,video,public speaking,positive,45,,,,,,,,,,
9908,29d7781c-9302-4269-91f3-c23afb33467a,intrigued,02-02-2021 19:45,video,public speaking,positive,45,,,,,,,,,,
9970,4df372b3-ed9d-41ef-b33d-b576ec383dfc,intrigued,03-03-2021 22:24,audio,dogs,positive,45,,,,,,,,,,
9981,93081b1a-4446-438a-a0d7-fbcedc3c992d,intrigued,25-04-2021 20:49,GIF,soccer,positive,45,,,,,,,,,,
9990,f361cc99-64f0-4a7c-ad49-945ff01abaa6,intrigued,22-09-2020 23:52,photo,dogs,positive,45,,,,,,,,,,
10017,f361cc99-64f0-4a7c-ad49-945ff01abaa6,intrigued,02-01-2021 06:40,photo,dogs,positive,45,,,,,,,,,,
10049,fc346df4-d165-4ed0-8d43-a6896daf908e,intrigued,17-10-2020 20:35,video,public speaking,positive,45,,,,,,,,,,
10050,aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,intrigued,02-10-2020 02:55,photo,animals,positive,45,,,,,,,,,,
10051,aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,intrigued,15-06-2021 03:57,photo,animals,positive,45,,,,,,,,,,
10082,64b9d086-2fd4-46d0-a19d-848572029de1,intrigued,27-05-2021 19:35,audio,healthy eating,positive,45,,,,,,,,,,
10083,64b9d086-2fd4-46d0-a19d-848572029de1,intrigued,28-06-2020 09:33,audio,healthy eating,positive,45,,,,,,,,,,
10151,d4813cf8-87d5-421e-81f7-c5d43c25c62a,intrigued,01-07-2020 01:49,GIF,technology,positive,45,,,,,,,,,,
10157,d4813cf8-87d5-421e-81f7-c5d43c25c62a,intrigued,31-10-2020 22:46,GIF,technology,positive,45,,,,,,,,,,
10171,b4871080-6bb7-4056-82a9-d8015d7b76e8,intrigued,02-01-2021 21:21,GIF,education,positive,45,,,,,,,,,,
10179,b4d8b8ed-d538-49d2-a1cb-25548045bcf1,intrigued,02-12-2020 16:46,video,healthy eating,positive,45,,,,,,,,,,
10236,9522ddea-8e07-4a2a-a001-25e4a534b8f6,intrigued,14-12-2020 23:41,GIF,technology,positive,45,,,,,,,,,,
10246,9522ddea-8e07-4a2a-a001-25e4a534b8f6,intrigued,23-09-2020 10:39,GIF,technology,positive,45,,,,,,,,,,
10267,8477eb49-08fd-44c3-a238-a13ee8cc5be8,intrigued,14-01-2021 21:12,audio,food,positive,45,,,,,,,,,,
10269,8477eb49-08fd-44c3-a238-a13ee8cc5be8,intrigued,02-03-2021 09:23,audio,food,positive,45,,,,,,,,,,
10272,b85e1b0d-1018-4a65-a709-4ac5323e06d9,intrigued,03-01-2021 03:26,video,fitness,positive,45,,,,,,,,,,
10276,b85e1b0d-1018-4a65-a709-4ac5323e06d9,intrigued,06-01-2021 01:39,video,fitness,positive,45,,,,,,,,,,
10290,b85e1b0d-1018-4a65-a709-4ac5323e06d9,intrigued,29-06-2020 23:24,video,fitness,positive,45,,,,,,,,,,
10303,fbd8f70d-d62d-42e8-9508-9f5815ab578c,intrigued,18-11-2020 07:44,video,education,positive,45,,,,,,,,,,
10312,fbd8f70d-d62d-42e8-9508-9f5815ab578c,intrigued,23-05-2021 14:39,video,education,positive,45,,,,,,,,,,
10319,fbd8f70d-d62d-42e8-9508-9f5815ab578c,intrigued,21-02-2021 21:28,video,education,positive,45,,,,,,,,,,
10322,fbd8f70d-d62d-42e8-9508-9f5815ab578c,intrigued,16-11-2020 06:33,video,education,positive,45,,,,,,,,,,
10330,fbd8f70d-d62d-42e8-9508-9f5815ab578c,intrigued,14-08-2020 04:20,video,education,positive,45,,,,,,,,,,
10345,6dbd153c-5b69-4ffb-a869-6285fb0c764d,intrigued,01-07-2020 17:38,audio,technology,positive,45,,,,,,,,,,
10358,6dbd153c-5b69-4ffb-a869-6285fb0c764d,intrigued,08-11-2020 18:02,audio,technology,positive,45,,,,,,,,,,
10366,6dbd153c-5b69-4ffb-a869-6285fb0c764d,intrigued,29-06-2020 05:27,audio,technology,positive,45,,,,,,,,,,
10368,9108109e-c521-4528-9d90-4c804cbb866d,intrigued,02-02-2021 07:12,audio,veganism,positive,45,,,,,,,,,,
10396,9108109e-c521-4528-9d90-4c804cbb866d,intrigued,23-08-2020 16:15,audio,veganism,positive,45,,,,,,,,,,
10445,88cbf75c-79f0-42cb-8733-af670f39d6e0,intrigued,22-07-2020 00:26,audio,animals,positive,45,,,,,,,,,,
10455,88cbf75c-79f0-42cb-8733-af670f39d6e0,intrigued,09-08-2020 15:58,audio,animals,positive,45,,,,,,,,,,
10483,88cbf75c-79f0-42cb-8733-af670f39d6e0,intrigued,14-10-2020 09:09,audio,animals,positive,45,,,,,,,,,,
10496,218838d8-52f4-4608-a1ba-d8988cc3d029,intrigued,31-08-2020 19:58,video,food,positive,45,,,,,,,,,,
10513,218838d8-52f4-4608-a1ba-d8988cc3d029,intrigued,18-09-2020 09:16,video,food,positive,45,,,,,,,,,,
10534,197dafda-42bd-4a0c-93b1-2ec8bb0214f6,intrigued,04-07-2020 06:28,audio,travel,positive,45,,,,,,,,,,
10562,d288a4cb-6361-4d4b-925f-a0bf2e3350ec,intrigued,19-06-2020 18:56,GIF,technology,positive,45,,,,,,,,,,
10571,ac63258d-9d7d-4167-934e-48b3f3c43fa9,intrigued,23-11-2020 01:05,audio,tennis,positive,45,,,,,,,,,,
10573,ac63258d-9d7d-4167-934e-48b3f3c43fa9,intrigued,17-03-2021 16:52,audio,tennis,positive,45,,,,,,,,,,
10595,ac63258d-9d7d-4167-934e-48b3f3c43fa9,intrigued,24-06-2020 02:44,audio,tennis,positive,45,,,,,,,,,,
10605,96d90aa6-a75b-4a75-9565-45f6cc8c9e98,intrigued,26-04-2021 23:42,video,public speaking,positive,45,,,,,,,,,,
10607,96d90aa6-a75b-4a75-9565-45f6cc8c9e98,intrigued,07-02-2021 16:17,video,public speaking,positive,45,,,,,,,,,,
10628,96d90aa6-a75b-4a75-9565-45f6cc8c9e98,intrigued,15-09-2020 22:22,video,public speaking,positive,45,,,,,,,,,,
10651,d200b97e-f661-4502-80d1-1e458816d558,intrigued,18-08-2020 20:30,audio,science,positive,45,,,,,,,,,,
10665,7f9423ac-89b4-4a9a-9747-76e8dd533e81,intrigued,28-09-2020 21:59,video,education,positive,45,,,,,,,,,,
10667,7f9423ac-89b4-4a9a-9747-76e8dd533e81,intrigued,13-12-2020 13:33,video,education,positive,45,,,,,,,,,,
10681,6b09861c-712e-46e6-a2a5-72e4b3878767,intrigued,21-03-2021 06:59,photo,studying,positive,45,,,,,,,,,,
10683,6b09861c-712e-46e6-a2a5-72e4b3878767,intrigued,20-08-2020 04:49,photo,studying,positive,45,,,,,,,,,,
10696,4c009116-c94a-4633-83fb-956565358565,intrigued,15-05-2021 03:07,photo,soccer,positive,45,,,,,,,,,,
10699,4c009116-c94a-4633-83fb-956565358565,intrigued,25-06-2020 14:47,photo,soccer,positive,45,,,,,,,,,,
10738,34cd13f5-5fa9-45fe-ad8e-0135b67b558d,intrigued,04-12-2020 01:48,photo,tennis,positive,45,,,,,,,,,,
10740,34cd13f5-5fa9-45fe-ad8e-0135b67b558d,intrigued,04-07-2020 07:38,photo,tennis,positive,45,,,,,,,,,,
10742,34cd13f5-5fa9-45fe-ad8e-0135b67b558d,intrigued,28-09-2020 22:08,photo,tennis,positive,45,,,,,,,,,,
10775,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,intrigued,13-07-2020 23:17,photo,animals,positive,45,,,,,,,,,,
10801,9531f7f8-d0cc-4e42-9cbb-94d93692653f,intrigued,26-10-2020 13:38,photo,soccer,positive,45,,,,,,,,,,
10811,9531f7f8-d0cc-4e42-9cbb-94d93692653f,intrigued,30-03-2021 06:43,photo,soccer,positive,45,,,,,,,,,,
10827,3cec7ac2-f9b6-4e4c-b392-63c59c3621f2,intrigued,08-01-2021 20:01,GIF,healthy eating,positive,45,,,,,,,,,,
10842,3cec7ac2-f9b6-4e4c-b392-63c59c3621f2,intrigued,18-03-2021 06:26,GIF,healthy eating,positive,45,,,,,,,,,,
10864,09bb0893-a05b-49bc-95ec-1e158577bf13,intrigued,11-06-2021 16:52,photo,healthy eating,positive,45,,,,,,,,,,
10896,c323d478-30a2-4140-a2ba-935a37b2ec10,intrigued,01-01-2021 19:16,GIF,cooking,positive,45,,,,,,,,,,
10927,bd656a40-09c1-4219-8210-e667136e3734,intrigued,30-06-2020 08:27,GIF,culture,positive,45,,,,,,,,,,
10956,bd656a40-09c1-4219-8210-e667136e3734,intrigued,06-10-2020 04:29,GIF,culture,positive,45,,,,,,,,,,
10968,afe1fed5-5639-45c7-89f8-ce9d1078c910,intrigued,25-03-2021 18:22,audio,cooking,positive,45,,,,,,,,,,
10970,afe1fed5-5639-45c7-89f8-ce9d1078c910,intrigued,24-08-2020 12:09,audio,cooking,positive,45,,,,,,,,,,
11001,af6c5966-dfe7-460b-9853-62ed9f18aed4,intrigued,25-12-2020 18:52,photo,technology,positive,45,,,,,,,,,,
11008,af6c5966-dfe7-460b-9853-62ed9f18aed4,intrigued,08-02-2021 15:10,photo,technology,positive,45,,,,,,,,,,
11037,af6c5966-dfe7-460b-9853-62ed9f18aed4,intrigued,05-06-2021 09:29,photo,technology,positive,45,,,,,,,,,,
11038,af6c5966-dfe7-460b-9853-62ed9f18aed4,intrigued,11-05-2021 18:02,photo,technology,positive,45,,,,,,,,,,
11042,af6c5966-dfe7-460b-9853-62ed9f18aed4,intrigued,23-02-2021 04:36,photo,technology,positive,45,,,,,,,,,,
11047,5ecad91d-3e8f-4a9e-9473-c3db5f2ab72f,intrigued,10-03-2021 22:54,audio,public speaking,positive,45,,,,,,,,,,
11054,5ecad91d-3e8f-4a9e-9473-c3db5f2ab72f,intrigued,01-04-2021 13:22,audio,public speaking,positive,45,,,,,,,,,,
11068,5ecad91d-3e8f-4a9e-9473-c3db5f2ab72f,intrigued,16-09-2020 13:30,audio,public speaking,positive,45,,,,,,,,,,
11073,5ecad91d-3e8f-4a9e-9473-c3db5f2ab72f,intrigued,07-02-2021 02:22,audio,public speaking,positive,45,,,,,,,,,,
11076,5ecad91d-3e8f-4a9e-9473-c3db5f2ab72f,intrigued,23-10-2020 01:36,audio,public speaking,positive,45,,,,,,,,,,
11077,5ecad91d-3e8f-4a9e-9473-c3db5f2ab72f,intrigued,25-05-2021 14:14,audio,public speaking,positive,45,,,,,,,,,,
11078,5ecad91d-3e8f-4a9e-9473-c3db5f2ab72f,intrigued,17-08-2020 05:11,audio,public speaking,positive,45,,,,,,,,,,
11091,2b7f2d2b-2a0b-4d33-ada9-ee9629742dff,intrigued,18-04-2021 10:25,photo,healthy eating,positive,45,,,,,,,,,,
11092,2b7f2d2b-2a0b-4d33-ada9-ee9629742dff,intrigued,16-10-2020 15:04,photo,healthy eating,positive,45,,,,,,,,,,
11107,57528f91-7b0d-4120-acaf-82ee87f6df7d,intrigued,10-03-2021 21:03,video,education,positive,45,,,,,,,,,,
11108,57528f91-7b0d-4120-acaf-82ee87f6df7d,intrigued,22-02-2021 21:15,video,education,positive,45,,,,,,,,,,
11124,57528f91-7b0d-4120-acaf-82ee87f6df7d,intrigued,21-04-2021 20:15,video,education,positive,45,,,,,,,,,,
11139,a82b8250-08aa-47a5-97c4-19f30f236179,intrigued,16-05-2021 18:23,audio,culture,positive,45,,,,,,,,,,
11161,a82b8250-08aa-47a5-97c4-19f30f236179,intrigued,14-06-2021 08:49,audio,culture,positive,45,,,,,,,,,,
11163,a82b8250-08aa-47a5-97c4-19f30f236179,intrigued,31-03-2021 03:04,audio,culture,positive,45,,,,,,,,,,
11197,4e7535a7-4547-4da5-952e-607442ebed79,intrigued,13-08-2020 08:34,GIF,dogs,positive,45,,,,,,,,,,
11219,5444a751-c58b-456a-9fc9-1e4f292f2920,intrigued,01-06-2021 03:59,GIF,cooking,positive,45,,,,,,,,,,
11286,4c598198-bd8b-4b86-8440-b8ecba62abe7,intrigued,14-04-2021 13:12,photo,technology,positive,45,,,,,,,,,,
11287,4c598198-bd8b-4b86-8440-b8ecba62abe7,intrigued,24-09-2020 05:39,photo,technology,positive,45,,,,,,,,,,
11295,1157961e-120e-4b2d-8fb2-705433ed9918,intrigued,16-05-2021 15:09,video,veganism,positive,45,,,,,,,,,,
11310,e0c5ae74-b379-4d34-a7ae-824daea8d682,intrigued,09-06-2021 13:28,audio,soccer,positive,45,,,,,,,,,,
11313,e0c5ae74-b379-4d34-a7ae-824daea8d682,intrigued,07-11-2020 17:54,audio,soccer,positive,45,,,,,,,,,,
11332,1f0ed2b8-8531-416f-b694-a40a63f378a0,intrigued,17-09-2020 15:22,photo,animals,positive,45,,,,,,,,,,
11339,1f0ed2b8-8531-416f-b694-a40a63f378a0,intrigued,04-06-2021 22:20,photo,animals,positive,45,,,,,,,,,,
11397,754eb96d-65d0-416b-aec4-4ba35836157d,intrigued,14-02-2021 14:49,GIF,tennis,positive,45,,,,,,,,,,
11404,754eb96d-65d0-416b-aec4-4ba35836157d,intrigued,07-12-2020 16:37,GIF,tennis,positive,45,,,,,,,,,,
11406,754eb96d-65d0-416b-aec4-4ba35836157d,intrigued,22-07-2020 18:57,GIF,tennis,positive,45,,,,,,,,,,
11408,754eb96d-65d0-416b-aec4-4ba35836157d,intrigued,11-06-2021 11:47,GIF,tennis,positive,45,,,,,,,,,,
11411,c0ea9b69-639e-42fe-8aa5-67f46036a17c,intrigued,09-06-2021 00:21,photo,animals,positive,45,,,,,,,,,,
11440,476e3ce0-3291-4c77-b3a3-deabee114efc,intrigued,24-04-2021 17:16,audio,healthy eating,positive,45,,,,,,,,,,
11470,83d08b29-6cdc-436c-89a6-20c3d60f7e73,intrigued,16-09-2020 13:16,GIF,soccer,positive,45,,,,,,,,,,
11503,f5068d8a-d4ba-49ee-8f30-716c1ec57e04,intrigued,08-02-2021 08:37,GIF,tennis,positive,45,,,,,,,,,,
11506,f5068d8a-d4ba-49ee-8f30-716c1ec57e04,intrigued,21-02-2021 12:00,GIF,tennis,positive,45,,,,,,,,,,
11524,8de4028d-9af3-4dc0-a4d6-4d9a56eae3c5,intrigued,31-08-2020 07:18,audio,technology,positive,45,,,,,,,,,,
11542,8de4028d-9af3-4dc0-a4d6-4d9a56eae3c5,intrigued,17-11-2020 03:41,audio,technology,positive,45,,,,,,,,,,
11555,b9bfb48f-a6b6-4c15-869a-1acceea04fca,intrigued,20-03-2021 03:08,video,soccer,positive,45,,,,,,,,,,
11564,b9bfb48f-a6b6-4c15-869a-1acceea04fca,intrigued,27-04-2021 18:19,video,soccer,positive,45,,,,,,,,,,
11584,674507f9-c555-4876-89c7-c06b6db561c0,intrigued,16-07-2020 11:31,audio,animals,positive,45,,,,,,,,,,
11586,674507f9-c555-4876-89c7-c06b6db561c0,intrigued,13-12-2020 08:07,audio,animals,positive,45,,,,,,,,,,
11608,e6193423-0d30-4439-884a-ea22fea68522,intrigued,20-10-2020 10:02,video,dogs,positive,45,,,,,,,,,,
11615,e6193423-0d30-4439-884a-ea22fea68522,intrigued,24-04-2021 15:13,video,dogs,positive,45,,,,,,,,,,
11632,dd7069e3-d0ad-4599-b159-032267fd5008,intrigued,01-08-2020 18:16,photo,public speaking,positive,45,,,,,,,,,,
11634,dd7069e3-d0ad-4599-b159-032267fd5008,intrigued,24-12-2020 04:47,photo,public speaking,positive,45,,,,,,,,,,
11636,dd7069e3-d0ad-4599-b159-032267fd5008,intrigued,16-09-2020 11:07,photo,public speaking,positive,45,,,,,,,,,,
11660,732e236f-f063-42b6-b5c1-24938385a126,intrigued,24-05-2021 06:10,audio,education,positive,45,,,,,,,,,,
11662,6fd589e8-53ab-4345-896a-f428a92fcbe6,intrigued,18-10-2020 16:06,video,education,positive,45,,,,,,,,,,
11681,6fd589e8-53ab-4345-896a-f428a92fcbe6,intrigued,28-02-2021 14:44,video,education,positive,45,,,,,,,,,,
11691,1c77e474-0cc6-40ac-b48b-cbc511bffc77,intrigued,30-04-2021 12:31,video,healthy eating,positive,45,,,,,,,,,,
11698,1c77e474-0cc6-40ac-b48b-cbc511bffc77,intrigued,26-02-2021 23:42,video,healthy eating,positive,45,,,,,,,,,,
11711,1c77e474-0cc6-40ac-b48b-cbc511bffc77,intrigued,23-12-2020 07:17,video,healthy eating,positive,45,,,,,,,,,,
11719,1c77e474-0cc6-40ac-b48b-cbc511bffc77,intrigued,17-07-2020 11:15,video,healthy eating,positive,45,,,,,,,,,,
11730,bcd3702f-c27e-48ce-889b-63f765f498ef,intrigued,19-07-2020 03:59,GIF,education,positive,45,,,,,,,,,,
11738,bcd3702f-c27e-48ce-889b-63f765f498ef,intrigued,07-11-2020 00:57,GIF,education,positive,45,,,,,,,,,,
11748,bcd3702f-c27e-48ce-889b-63f765f498ef,intrigued,13-04-2021 01:46,GIF,education,positive,45,,,,,,,,,,
11754,bcd3702f-c27e-48ce-889b-63f765f498ef,intrigued,26-12-2020 18:38,GIF,education,positive,45,,,,,,,,,,
11764,10baeb43-5bb2-49df-9644-f91a3c77725a,intrigued,25-12-2020 13:41,photo,food,positive,45,,,,,,,,,,
11777,f24f469f-53f1-4901-b6c5-18827ae0a103,intrigued,16-10-2020 17:06,photo,culture,positive,45,,,,,,,,,,
11789,f24f469f-53f1-4901-b6c5-18827ae0a103,intrigued,07-08-2020 09:10,photo,culture,positive,45,,,,,,,,,,
11804,2ea5611f-f6e0-4696-9153-cda8d2b9a2a3,intrigued,20-08-2020 23:17,photo,technology,positive,45,,,,,,,,,,
11809,2ea5611f-f6e0-4696-9153-cda8d2b9a2a3,intrigued,09-11-2020 06:48,photo,technology,positive,45,,,,,,,,,,
11830,7f5299bf-ae57-4c01-a84c-f0c6bc7a5b5f,intrigued,14-01-2021 09:42,audio,animals,positive,45,,,,,,,,,,
11857,7f5299bf-ae57-4c01-a84c-f0c6bc7a5b5f,intrigued,29-03-2021 01:47,audio,animals,positive,45,,,,,,,,,,
11870,7f5299bf-ae57-4c01-a84c-f0c6bc7a5b5f,intrigued,08-05-2021 16:06,audio,animals,positive,45,,,,,,,,,,
11872,ec202582-a5b2-4ea2-992c-8a1ca8b705d0,intrigued,02-09-2020 02:42,photo,food,positive,45,,,,,,,,,,
11880,ec202582-a5b2-4ea2-992c-8a1ca8b705d0,intrigued,22-07-2020 23:03,photo,food,positive,45,,,,,,,,,,
11881,ec202582-a5b2-4ea2-992c-8a1ca8b705d0,intrigued,20-10-2020 08:09,photo,food,positive,45,,,,,,,,,,
11905,d70f66c4-627a-4416-b1ad-51b5ccc8cf1d,intrigued,28-04-2021 00:25,GIF,healthy eating,positive,45,,,,,,,,,,
11912,d70f66c4-627a-4416-b1ad-51b5ccc8cf1d,intrigued,05-01-2021 23:21,GIF,healthy eating,positive,45,,,,,,,,,,
11917,d70f66c4-627a-4416-b1ad-51b5ccc8cf1d,intrigued,12-01-2021 19:09,GIF,healthy eating,positive,45,,,,,,,,,,
11948,b3562ae0-929b-46a5-8989-89e4ac3d1f7c,intrigued,07-10-2020 01:18,photo,public speaking,positive,45,,,,,,,,,,
11987,b3562ae0-929b-46a5-8989-89e4ac3d1f7c,intrigued,29-11-2020 23:13,photo,public speaking,positive,45,,,,,,,,,,
11999,2e84726a-e69f-44e8-ac0f-c4a31516e342,intrigued,15-02-2021 21:54,video,dogs,positive,45,,,,,,,,,,
12001,2e84726a-e69f-44e8-ac0f-c4a31516e342,intrigued,18-02-2021 06:20,video,dogs,positive,45,,,,,,,,,,
12004,dd5bd710-bb81-464e-a798-0291b385e883,intrigued,15-05-2021 16:39,photo,healthy eating,positive,45,,,,,,,,,,
12013,dd5bd710-bb81-464e-a798-0291b385e883,intrigued,31-10-2020 07:14,photo,healthy eating,positive,45,,,,,,,,,,
12015,dd5bd710-bb81-464e-a798-0291b385e883,intrigued,01-02-2021 21:12,photo,healthy eating,positive,45,,,,,,,,,,
12028,dd5bd710-bb81-464e-a798-0291b385e883,intrigued,18-10-2020 20:10,photo,healthy eating,positive,45,,,,,,,,,,
12032,dd5bd710-bb81-464e-a798-0291b385e883,intrigued,14-11-2020 20:07,photo,healthy eating,positive,45,,,,,,,,,,
12037,dd5bd710-bb81-464e-a798-0291b385e883,intrigued,18-05-2021 23:28,photo,healthy eating,positive,45,,,,,,,,,,
12041,a38cf15e-6a1d-42e8-bee7-0eeb456c700b,intrigued,09-11-2020 05:45,video,travel,positive,45,,,,,,,,,,
12059,a38cf15e-6a1d-42e8-bee7-0eeb456c700b,intrigued,14-04-2021 10:36,video,travel,positive,45,,,,,,,,,,
12060,a38cf15e-6a1d-42e8-bee7-0eeb456c700b,intrigued,21-02-2021 23:45,video,travel,positive,45,,,,,,,,,,
12077,a38cf15e-6a1d-42e8-bee7-0eeb456c700b,intrigued,08-09-2020 06:25,video,travel,positive,45,,,,,,,,,,
12109,4fd0ef9a-008d-4b61-9a78-4b0257281140,intrigued,12-06-2021 02:46,audio,technology,positive,45,,,,,,,,,,
12118,4fd0ef9a-008d-4b61-9a78-4b0257281140,intrigued,27-06-2020 21:26,audio,technology,positive,45,,,,,,,,,,
12160,76898916-4024-4c32-909b-dd240879d76a,intrigued,16-04-2021 21:07,GIF,animals,positive,45,,,,,,,,,,
12177,76898916-4024-4c32-909b-dd240879d76a,intrigued,22-01-2021 00:35,GIF,animals,positive,45,,,,,,,,,,
12183,8204e4bd-c544-4a18-ac0d-6f5289957cdf,intrigued,13-01-2021 11:31,photo,dogs,positive,45,,,,,,,,,,
12187,8204e4bd-c544-4a18-ac0d-6f5289957cdf,intrigued,17-05-2021 21:21,photo,dogs,positive,45,,,,,,,,,,
12216,56a3156c-41e0-4b35-8e6d-947961b3af5b,intrigued,19-12-2020 19:58,photo,fitness,positive,45,,,,,,,,,,
12227,56a3156c-41e0-4b35-8e6d-947961b3af5b,intrigued,24-04-2021 18:17,photo,fitness,positive,45,,,,,,,,,,
12229,56a3156c-41e0-4b35-8e6d-947961b3af5b,intrigued,21-10-2020 00:07,photo,fitness,positive,45,,,,,,,,,,
12256,fd060448-7b3e-4626-b3ca-44bfe764e26f,intrigued,08-05-2021 08:01,photo,cooking,positive,45,,,,,,,,,,
12284,74c85e37-5017-462e-bee2-2769db7a17c1,intrigued,16-09-2020 02:12,photo,healthy eating,positive,45,,,,,,,,,,
12292,74c85e37-5017-462e-bee2-2769db7a17c1,intrigued,24-02-2021 10:21,photo,healthy eating,positive,45,,,,,,,,,,
12293,74c85e37-5017-462e-bee2-2769db7a17c1,intrigued,28-04-2021 13:20,photo,healthy eating,positive,45,,,,,,,,,,
12300,b400ea0c-43f0-4307-a3b2-78e5784d69be,intrigued,09-08-2020 21:16,audio,fitness,positive,45,,,,,,,,,,
12306,79f1b9b4-b21b-4abd-802a-811540cbc845,intrigued,06-12-2020 14:38,audio,travel,positive,45,,,,,,,,,,
12319,af373863-f9df-4330-b423-d2b802b30d6e,intrigued,20-06-2020 19:32,video,food,positive,45,,,,,,,,,,
12345,6380e982-07ac-4d21-bd23-cec0bcfa1ff9,intrigued,07-02-2021 22:19,photo,soccer,positive,45,,,,,,,,,,
12376,b13bec8c-4469-4cc8-8650-7057eb95d3ee,intrigued,27-11-2020 05:51,GIF,travel,positive,45,,,,,,,,,,
12390,b13bec8c-4469-4cc8-8650-7057eb95d3ee,intrigued,11-01-2021 04:27,GIF,travel,positive,45,,,,,,,,,,
12395,43450a12-1e4c-4a17-a846-9d8768984051,intrigued,07-10-2020 18:48,video,animals,positive,45,,,,,,,,,,
12399,43450a12-1e4c-4a17-a846-9d8768984051,intrigued,01-04-2021 11:36,video,animals,positive,45,,,,,,,,,,
12406,43450a12-1e4c-4a17-a846-9d8768984051,intrigued,22-03-2021 06:41,video,animals,positive,45,,,,,,,,,,
12413,43450a12-1e4c-4a17-a846-9d8768984051,intrigued,18-03-2021 10:53,video,animals,positive,45,,,,,,,,,,
12414,43450a12-1e4c-4a17-a846-9d8768984051,intrigued,05-06-2021 03:50,video,animals,positive,45,,,,,,,,,,
12417,7913b30d-19fd-4900-8a68-ce141192b3ec,intrigued,08-03-2021 19:39,audio,cooking,positive,45,,,,,,,,,,
12419,7913b30d-19fd-4900-8a68-ce141192b3ec,intrigued,01-06-2021 11:14,audio,cooking,positive,45,,,,,,,,,,
12469,c5e2d733-94b9-4259-85e8-6fb7a95a1887,intrigued,07-06-2021 19:51,audio,tennis,positive,45,,,,,,,,,,
12474,c5e2d733-94b9-4259-85e8-6fb7a95a1887,intrigued,10-07-2020 16:51,audio,tennis,positive,45,,,,,,,,,,
12491,e3cd0095-28c9-4f10-b04c-77b4e38bb85a,intrigued,20-10-2020 06:55,GIF,technology,positive,45,,,,,,,,,,
12501,b7983f99-c4c7-455b-a120-b144101449ad,intrigued,09-12-2020 20:24,audio,dogs,positive,45,,,,,,,,,,
12519,b7983f99-c4c7-455b-a120-b144101449ad,intrigued,30-07-2020 14:09,audio,dogs,positive,45,,,,,,,,,,
12534,f2f7e343-5e8f-4ef3-b693-4261971c2ee7,intrigued,07-03-2021 03:47,GIF,tennis,positive,45,,,,,,,,,,
12551,a1d33ddd-1a6c-4dc2-afe1-bcf632cf0ce4,intrigued,14-12-2020 16:57,video,food,positive,45,,,,,,,,,,
12555,a1d33ddd-1a6c-4dc2-afe1-bcf632cf0ce4,intrigued,07-10-2020 18:18,video,food,positive,45,,,,,,,,,,
12573,a1d33ddd-1a6c-4dc2-afe1-bcf632cf0ce4,intrigued,28-08-2020 18:06,video,food,positive,45,,,,,,,,,,
12584,a1d33ddd-1a6c-4dc2-afe1-bcf632cf0ce4,intrigued,10-04-2021 17:30,video,food,positive,45,,,,,,,,,,
12616,cad48d10-3ad3-4bf0-bee5-330783eb8532,intrigued,30-03-2021 14:10,photo,soccer,positive,45,,,,,,,,,,
12621,52995b7c-6f2d-469c-a331-596323e6ad67,intrigued,02-08-2020 23:14,audio,science,positive,45,,,,,,,,,,
12630,888660b0-7dd8-4983-858a-101cd03d392b,intrigued,29-01-2021 09:34,video,science,positive,45,,,,,,,,,,
12638,888660b0-7dd8-4983-858a-101cd03d392b,intrigued,30-01-2021 11:11,video,science,positive,45,,,,,,,,,,
12640,888660b0-7dd8-4983-858a-101cd03d392b,intrigued,13-03-2021 01:43,video,science,positive,45,,,,,,,,,,
12718,145ed259-6151-4021-bc13-a0b5482e5bd8,intrigued,26-05-2021 06:15,photo,technology,positive,45,,,,,,,,,,
12730,145ed259-6151-4021-bc13-a0b5482e5bd8,intrigued,17-02-2021 07:22,photo,technology,positive,45,,,,,,,,,,
12733,145ed259-6151-4021-bc13-a0b5482e5bd8,intrigued,11-12-2020 00:01,photo,technology,positive,45,,,,,,,,,,
12774,3af75639-bdaf-4461-b630-d212e7fb4f30,intrigued,17-08-2020 23:09,audio,education,positive,45,,,,,,,,,,
12776,3af75639-bdaf-4461-b630-d212e7fb4f30,intrigued,21-11-2020 07:09,audio,education,positive,45,,,,,,,,,,
12802,3af75639-bdaf-4461-b630-d212e7fb4f30,intrigued,24-12-2020 21:03,audio,education,positive,45,,,,,,,,,,
12822,12a7140a-6fe7-41e2-b2b4-75d913fcca1e,intrigued,03-01-2021 13:18,GIF,studying,positive,45,,,,,,,,,,
12902,0ce7392d-5c20-4ffa-a42f-767f51e9b466,intrigued,09-09-2020 06:45,GIF,travel,positive,45,,,,,,,,,,
12912,0ce7392d-5c20-4ffa-a42f-767f51e9b466,intrigued,17-08-2020 18:17,GIF,travel,positive,45,,,,,,,,,,
